21028,55,tilly-sur-meuse,TILLY-SUR-MEUSE,tilly sur meuse,Tilly-sur-Meuse,T42652,TLSRMS,55220,512,55512,3,18,6,275,222,300,20,13.69,5.43333,49,3448,54451,+52623,490020,204,352
21029,55,cousances-les-triconville,COUSANCES-LES-TRICONVILLE,cousances les triconville,Cousances-lès-Triconville,C5242362514,KSNSSLSTRKNFL,55500,518,55518,2,05,6,144,122,100,7,18.27,5.38695,48.7645,3389,54183,+52313,484552,263,382
21030,55,menil-aux-bois,MENIL-AUX-BOIS,menil aux bois,Ménil-aux-Bois,M4212,MNLKSBS,55260,333,55333,2,15,6,42,40,0,6,6.71,5.45,48.8,3453,54228,+52638,484819,256,357
21031,55,rembercourt-sommaisne,REMBERCOURT-SOMMAISNE,rembercourt sommaisne,Rembercourt-Sommaisne,R5162632525,RMRKRTSMSN,55250,423,55423,1,23,6,325,313,300,14,22.32,5.17889,48.9103,3158,54345,+51044,485437,223,307
21032,55,mont-devant-sassey,MONT-DEVANT-SASSEY,mont devant sassey,Mont-devant-Sassey,M31532,MNTTFNTSS,55110,345,55345,3,07,6,120,125,100,14,8.22,5.16667,49.4167,3145,54901,+51001,492438,170,319
21033,55,muzeray,MUZERAY,muzeray,Muzeray,M260,MSR,55230,367,55367,3,19,6,129,87,100,15,8.24,5.61667,49.3333,3652,54821,+53724,492021,222,273
21034,55,stenay,STENAY,stenay,Stenay,S350,STN,55700,502,55502,3,20,5,2779,2966,2800,102,27.16,5.18333,49.4833,3166,54989,+51108,492924,163,303
21035,55,lachaussee,LACHAUSSEE,lachaussee,Lachaussée,L200,LXS,55210,267,55267,2,27,6,263,256,300,9,27.19,5.81667,49.0333,3869,54486,+54907,490214,203,238
21036,55,ville-devant-belrain,VILLE-DEVANT-BELRAIN,ville devant belrain,Ville-devant-Belrain,V431531465,FLTFNTBLRN,55260,555,55555,2,15,6,28,23,0,4,6.12,5.33333,48.8667,3335,54300,+52018,485213,252,331
21037,55,bure-55,BURE,bure,Bure,B600,BR,55290,087,55087,1,13,6,91,85,100,4,18.39,5.35667,48.5048,3356,53894,+52124,483017,298,399
21038,55,montigny-les-vaucouleurs,MONTIGNY-LES-VAUCOULEURS,montigny les vaucouleurs,Montigny-lès-Vaucouleurs,M3254212462,MNTKNLSFKLRS,55140,350,55350,2,24,6,76,76,100,6,11.83,5.63333,48.5833,3661,53986,+53754,483515,280,381
21039,55,fleury-devant-douaumont,FLEURY-DEVANT-DOUAUMONT,fleury devant douaumont,Fleury-devant-Douaumont,F46315353,FLRTFNTTMNT,55100,189,55189,3,03,6,0,0,0,0,10.27,5.43445,49.195,3442,54661,+52604,491142,227,390
21040,55,mecrin,MECRIN,mecrin,Mécrin,M265,MKRN,55300,329,55329,2,05,6,238,228,200,23,10.19,5.53333,48.8167,3551,54250,+53158,484931,222,358
